_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee24a4e2980ece697274),,4,4200,"[""rice"",""sesame oil"",""eggs"",""roasting chickens"",""frozen mixed vegetables"",""chicken soup base""]",Happy Money Saver,Fried Rice,"{""course"":[""Side Dishes""]}",Fried-Rice-1599451
ObjectId(58e5ee24a4e2980ece6972e7),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,2100,"[""frozen mini ravioli"",""eggs"",""half \u0026 half"",""flour"",""panko breadcrumbs"",""vegetable oil"",""shredded parmesan cheese"",""parsley"",""ragu"",""sauce""]",Cupcake Diaries,Fried Ravioli,"{""course"":[""Main Dishes""]}",Fried-Ravioli-1823422
ObjectId(58e5ee24a4e2980ece6973e0),,5,2100,"[""vegetable oil"",""onions"",""garlic"",""chicken meat"",""salt"",""pepper"",""shredded Monterey Jack cheese"",""corn tortillas""]",Every Day with Rachael Ray,Fried Chicken Rollups,"{""course"":[""Lunch"",""Main Dishes""]}",Fried-chicken-rollups-346189
ObjectId(58e5ee24a4e2980ece6974a7),,3,1800,"[""olive oil"",""buttermilk"",""Italian style breadcrumbs"",""cheese ravioli"",""freshly grated parmesan"",""marinara sauce""]",Food Network Canada,Fried Ravioli,"{""course"":[""Lunch"",""Main Dishes""]}",Fried-Ravioli-1486355
ObjectId(58e5ee24a4e2980ece697706),,4,3000,"[""butter"",""sugar"",""corn flakes"",""vanilla ice cream"",""whipped topping"",""cinnamon"",""honey""]",Foods Master,Fried Ice Cream Dessert,"{""course"":[""Desserts""]}",Fried-Ice-Cream-Dessert-1869407
ObjectId(58e5ee24a4e2980ece697812),,4,1800,"[""halloumi cheese"",""olive oil"",""kosher salt"",""cracked black pepper"",""red pepper flakes"",""flour tortillas"",""guacamole"",""fresh cilantro"",""lemon wedges""]",What's Gaby Cooking,Fried Halloumi Tacos,"{""course"":[""Lunch""]}",Fried-Halloumi-Tacos-2031664
ObjectId(58e5ee24a4e2980ece697a9c),"{""sweet"":0.16666666666666666,""sour"":0.5,""salty"":0.16666666666666666,""piquant"":0.5,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,1500,"[""squid"",""lemon"",""eggs"",""coconut flour"",""cayenne pepper"",""salt"",""mild olive oil""]",That Paleo Couple,Fried Calamari,{},Fried-Calamari-1454261
ObjectId(58e5ee24a4e2980ece698133),,3,2400,"[""olive oil"",""chickpeas"",""ground black pepper"",""salt"",""chorizo"",""spinach"",""sherry"",""bread crumbs""]",Cooking Channel,Fried Chickpeas with Chorizo and Spinach,"{""course"":[""Main Dishes""]}",Fried-Chickpeas-with-Chorizo-and-Spinach-751608
ObjectId(58e5ee24a4e2980ece698198),,4,1620,"[""buttermilk"",""catfish fillets"",""cornmeal"",""all-purpose flour"",""salt"",""ground red pepper"",""Country Crock® Spread"",""cucumber""]",Unilever North America,Fried Catfish With Cucumber Slaw,"{""course"":[""Main Dishes""],""cuisine"":[""Southern \u0026 Soul Food""]}",Fried-catfish-with-cucumber-slaw-299810
ObjectId(58e5ee24a4e2980ece69835b),"{""piquant"":0.3333333333333333,""sour"":0.5,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.3333333333333333}",4,1500,"[""green tomatoes"",""all-purpose flour"",""large eggs"",""water"",""yellow cornmeal"",""plain breadcrumbs"",""kosher salt"",""freshly ground black pepper"",""cayenne pepper"",""vegetable oil"",""dressing""]",Real Housemoms,Fried Green Tomatoes,"{""course"":[""Side Dishes""],""cuisine"":[""Southern \u0026 Soul Food""]}",Fried-Green-Tomatoes-1736127
ObjectId(58e5ee24a4e2980ece6983f6),,3,2400,"[""salt"",""ground black pepper"",""fresh coriander"",""chopped fresh thyme"",""sweet chili sauce"",""minced garlic"",""lemon"",""corn flour"",""olive oil"",""wheat flour"",""milk""]",O Meu Tempero,Fried Chicken Wings with Sauce,{},Fried-Chicken-Wings-with-Sauce-2055908
ObjectId(58e5ee24a4e2980ece69843c),,4,1200,"[""olive oil"",""padron peppers"",""coarse sea salt""]",Jun-Blog,Fried Padrón Peppers,{},Fried-Padron-Peppers-1789013
ObjectId(58e5ee24a4e2980ece698608),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2100,"[""mashed potatoes"",""cream cheese"",""chives"",""eggs"",""grated parmesan cheese"",""garlic powder"",""salt"",""ground black pepper"",""bread crumbs"",""flour"",""vegetable oil""]",Mantitlement,Fried Mashed Potatoes,"{""course"":[""Side Dishes""]}",Fried-Mashed-Potatoes-1473816
ObjectId(58e5ee24a4e2980ece6988ef),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2880,"[""fingerling potatoes"",""olive oil"",""garlic"",""fresh lemon juice"",""fresh parsley leaves"",""fresh thyme leaves"",""lemon"",""kosher salt"",""freshly ground black pepper""]",Going My Wayz,Fried Smashed Potatoes with Lemons,"{""course"":[""Side Dishes""]}",Fried-Smashed-Potatoes-with-Lemons-1890029
ObjectId(58e5ee24a4e2980ece698b0d),,4,10800,"[""cheesecake"",""bananas"",""phyllo pastry"",""unsalted butter"",""canola oil"",""honey"",""whipped cream"",""vanilla bean ice cream""]",Savory Experiments,Fried Banana Cheesecake Rolls,"{""course"":[""Desserts""]}",Fried-Banana-Cheesecake-Rolls-1240451
ObjectId(58e5ee24a4e2980ece698c66),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.0,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,1200,"[""fresh ginger"",""flour"",""vegetable oil""]",Saveur,Fried Ginger,{},Fried-Ginger-441578
ObjectId(58e5ee24a4e2980ece698c9b),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2100,"[""mashed potatoes"",""cream cheese"",""chives"",""eggs"",""grated parmesan cheese"",""garlic powder"",""salt"",""ground black pepper"",""bread crumbs"",""flour"",""vegetable oil""]",Mantitlement,Fried Mashed Potatoes,"{""course"":[""Side Dishes""]}",Fried-Mashed-Potatoes-1473816
ObjectId(58e5ee24a4e2980ece698d6b),,4,2100,"[""tortellini"",""green bell pepper"",""carrots"",""mushrooms"",""garlic"",""olive oil"",""mozzarella cheese""]","Oh, Sweet Basil",Fried Tortellini,"{""course"":[""Main Dishes""]}",Fried-Tortellini-999697
ObjectId(58e5ee24a4e2980ece698e48),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.6666666666666666,""piquant"":0.0,""bitter"":0.6666666666666666,""meaty"":0.5}",4,1500,"[""shredded zucchini"",""eggs"",""flour"",""shredded parmesan cheese"",""shredded cheddar cheese"",""garlic"",""green onions"",""white onion"",""bread crumbs""]",The Kitchen Magpie,Fried Zucchini Cakes,{},Fried-Zucchini-Cakes-1229801
ObjectId(58e5ee24a4e2980ece698ed7),"{""sweet"":0.0,""sour"":0.16666666666666666,""salty"":0.0,""piquant"":0.0,""bitter"":0.0,""meaty"":0.16666666666666666}",4,1800,"[""zucchini blossoms"",""flour"",""water""]",Charlotte au Chocolat,Fried Zucchini Blossoms,{},Fried-Zucchini-Blossoms-1794542
ObjectId(58e5ee24a4e2980ece699346),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.6666666666666666}",3,2100,"[""boneless chicken breast"",""whole milk"",""beaten eggs"",""flour"",""pepper"",""garlic powder"",""paprika"",""onion powder""]",Tip Hero,Fried Chicken Rings,"{""course"":[""Main Dishes"",""Lunch""]}",Fried-Chicken-Rings-1935854
ObjectId(58e5ee24a4e2980ece699447),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.0,""bitter"":0.8333333333333334,""meaty"":0.3333333333333333}",3,3000,"[""ground pork"",""large shrimp"",""scallions"",""fresh ginger"",""low sodium soy sauce"",""rice vinegar"",""salt"",""black pepper"",""wonton wrappers"",""canola oil""]",Tracey's Culinary Adventures,Fried Pork and Shrimp Wontons,"{""course"":[""Appetizers"",""Main Dishes""],""cuisine"":[""Chinese"",""Asian""]}",Fried-Pork-and-Shrimp-Wontons-622627
ObjectId(58e5ee24a4e2980ece6994a5),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.3333333333333333}",4,1200,"[""vegetable oil"",""green tomatoes"",""all-purpose flour"",""eggs"",""pepper"",""salt""]",AllRecipes,Fried Green Tomatoes III,"{""course"":[""Side Dishes""],""cuisine"":[""Southern \u0026 Soul Food""]}",Fried-Green-Tomatoes-Iii-Allrecipes
ObjectId(58e5ee24a4e2980ece699638),,4,1620,"[""buttermilk"",""catfish fillets"",""cornmeal"",""all-purpose flour"",""salt"",""ground red pepper"",""Country Crock® Spread"",""cucumber""]",Unilever North America,Fried Catfish With Cucumber Slaw,"{""course"":[""Main Dishes""],""cuisine"":[""Southern \u0026 Soul Food""]}",Fried-catfish-with-cucumber-slaw-299810
