_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee1aa4e2980ece65e59c),"{""piquant"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,2100,"[""white quinoa"",""large eggs"",""shredded mozzarella cheese"",""kale"",""sea salt"",""ground pepper"",""garlic powder"",""italian seasoning""]",Wonky Wonderful,Baked Kale and Quinoa Bites,"{""course"":[""Appetizers""]}",Baked-Kale-and-Quinoa-Bites-1446488
ObjectId(58e5ee1aa4e2980ece65e59d),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.6666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,2100,"[""powdered sugar"",""ground cinnamon"",""butter"",""sliced bread""]",Receitas Da Felicidade!,Baked Cinnamon Wraps,"{""course"":[""Desserts"",""Lunch""]}",Baked-Cinnamon-Wraps-898247
ObjectId(58e5ee1aa4e2980ece65e5b6),"{""piquant"":0.0,""sour"":0.0,""salty"":0.8333333333333334,""sweet"":0.8333333333333334,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",4,2100,"[""graham crackers"",""chocolate chips"",""marshmallows"",""melted butter""]",Moms Need To Know,Baked S’Mores Cups,"{""course"":[""Desserts""],""cuisine"":[""Kid-Friendly""]}",Baked-SMores-Cups-1165546
ObjectId(58e5ee1aa4e2980ece65e5ce),"{""sweet"":0.16666666666666666,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",3,1500,"[""chickpeas"",""onions"",""garlic"",""fresh parsley"",""all-purpose flour"",""coriander"",""cumin"",""baking powder"",""salt"",""pepper"",""olive oil""]",Middle Eastern Food About.com,Baked Falafel,{},Baked-Falafel-600014
ObjectId(58e5ee1aa4e2980ece65e61a),,4,3900,"[""potatoes"",""Velveeta"",""mayonnaise"",""green onions"",""bacon pieces""]",Diary Of A Recipe Collector,Baked Potato Casserole,"{""course"":[""Side Dishes""]}",Baked-Potato-Casserole-1025391
ObjectId(58e5ee1aa4e2980ece65e683),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.5}",4,4500,"[""whole grain bread"",""unsweetened coconut milk"",""large eggs"",""potato puree"",""unsalted butter"",""pure vanilla extract"",""ground cinnamon"",""ground ginger"",""salt"",""raisins"",""pure maple syrup""]",C it Nutritionally,Baked Sweet Potato French Toast Casserole,"{""course"":[""Breakfast and Brunch""]}",Baked-Sweet-Potato-French-Toast-Casserole-2042579
ObjectId(58e5ee1aa4e2980ece65e6a9),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.0,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,2400,"[""boneless skinless chicken breasts"",""salt"",""ground pepper"",""butter"",""garlic"",""rosemary leaves"",""cheese""]",Diethood,Baked Garlic Butter Chicken,"{""course"":[""Main Dishes""]}",Baked-Garlic-Butter-Chicken-1556164
ObjectId(58e5ee1aa4e2980ece65e6b2),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",5,4800,"[""beets"",""olive oil"",""sea salt"",""pepper""]",Naturally Ella,Baked Beet Chips,"{""course"":[""Lunch"",""Snacks""]}",Baked-Beet-Chips-Naturally-Ella-46350
ObjectId(58e5ee1aa4e2980ece65e708),"{""piquant"":0.0,""sour"":0.0,""salty"":0.6666666666666666,""sweet"":0.6666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,3600,"[""melted butter"",""brown sugar"",""white bread"",""eggs"",""whole milk"",""vanilla"",""cinnamon""]",Doing Splendid,Baked French Toast,"{""course"":[""Breakfast and Brunch""]}",Baked-French-Toast-1522183
ObjectId(58e5ee1aa4e2980ece65e77a),,4,3300,"[""firmly packed brown sugar"",""Quaker Oats"",""granulated sugar"",""fat free milk"",""vanilla"",""liquid egg substitute""]",,Baked Oatmeal,"{""course"":[""Breakfast and Brunch""]}",Baked-Oatmeal-760976
