_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee21a4e2980ece687e88),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""sweet"":0.6666666666666666,""bitter"":0.8333333333333334,""meaty"":0.5}",5,2400,"[""sugar"",""all-purpose flour"",""kamut flour"",""lemon"",""salt"",""baking powder"",""eggs"",""almond milk"",""safflower oil"",""lemon juice""]",Big Girls Small Kitchen,Glazed Lemon Muffins,"{""course"":[""Breads""]}",Glazed-lemon-muffins-310120
ObjectId(58e5ee21a4e2980ece687f6d),,3,1500,"[""brown sugar"",""cream sherry"",""Golden Blossom Honey"",""ground nutmeg"",""salt"",""pecan halves""]",Golden Blossom Honey,Glazed Pecans,"{""course"":[""Desserts"",""Lunch"",""Snacks""],""holiday"":[""Christmas""]}",Glazed-Pecans-1966599
ObjectId(58e5ee21a4e2980ece688088),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.8333333333333334,""bitter"":0.5,""meaty"":0.16666666666666666}",5,4200,"[""unsalted butter"",""all-purpose flour"",""baking powder"",""baking soda"",""ground ginger"",""ground allspice"",""ground cinnamon"",""ground cloves"",""fine salt"",""granulated sugar"",""pumpkin purée"",""molasses"",""large eggs"",""buttermilk"",""confectioners sugar"",""vanilla""]",Framed Cooks,Glazed Gingerbread Muffins,"{""course"":[""Breakfast and Brunch"",""Breads""],""holiday"":[""Christmas""]}",Glazed-gingerbread-muffins-369008
ObjectId(58e5ee21a4e2980ece6880f1),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""sweet"":0.6666666666666666,""bitter"":0.8333333333333334,""meaty"":0.5}",5,2400,"[""sugar"",""all-purpose flour"",""kamut flour"",""lemon"",""salt"",""baking powder"",""eggs"",""almond milk"",""safflower oil"",""lemon juice""]",Big Girls Small Kitchen,Glazed Lemon Muffins,"{""course"":[""Breads""]}",Glazed-lemon-muffins-310120
ObjectId(58e5ee21a4e2980ece689628),,3,3000,"[""baby carrots"",""sugar pea"",""brown sugar"",""Kraft Sun Dried Tomato Vinaigrette"",""butter"",""radishes"",""fresh parsley""]",Kraft,Glazed Spring Vegetables,"{""course"":[""Side Dishes""]}",Glazed-Spring-Vegetables-1556802
ObjectId(58e5ee21a4e2980ece689696),,3,1500,"[""brown sugar"",""cream sherry"",""Golden Blossom Honey"",""ground nutmeg"",""salt"",""pecan halves""]",Golden Blossom Honey,Glazed Pecans,"{""course"":[""Desserts"",""Lunch"",""Snacks""],""holiday"":[""Christmas""]}",Glazed-Pecans-1966599
ObjectId(58e5ee21a4e2980ece689d0d),,3,3000,"[""baby carrots"",""sugar pea"",""brown sugar"",""Kraft Sun Dried Tomato Vinaigrette"",""butter"",""radishes"",""fresh parsley""]",Kraft,Glazed Spring Vegetables,"{""course"":[""Side Dishes""]}",Glazed-Spring-Vegetables-1556802
ObjectId(58e5ee21a4e2980ece689e80),"{""sweet"":0.8333333333333334,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""piquant"":0.0,""bitter"":0.5,""meaty"":0.16666666666666666}",4,2400,"[""flour"",""sugar"",""baking powder"",""salt"",""cinnamon"",""nutmeg"",""clove"",""ginger"",""butter"",""pumpkin purée"",""heavy cream"",""eggs"",""vanilla"",""powdered sugar"",""milk""]",Moms Need To Know,Glazed Pumpkin Spice Scones | Copycat Starbucks Recipe!,"{""course"":[""Breads""]}",Glazed-Pumpkin-Spice-Scones-_-Copycat-Starbucks-Recipe_-1348226
ObjectId(58e5ee22a4e2980ece68b8b4),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""sugar"",""milk"",""vanilla""]",Home Grown Families,Glazed Croissants,"{""course"":[""Desserts""]}",Glazed-Croissants-1999036
ObjectId(58e5ee22a4e2980ece68ba50),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.8333333333333334,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1500,"[""all-purpose flour"",""granulated sugar"",""baking powder"",""ground nutmeg"",""ground cinnamon"",""salt"",""buttermilk"",""eggs"",""vanilla"",""butter"",""fresh blueberries"",""glaze"",""powdered sugar"",""milk""]",Better in Bulk,Glazed Baked Blueberry Doughnuts,"{""course"":[""Breakfast and Brunch"",""Breads""]}",Glazed-Baked-Blueberry-Doughnuts-1062220
